,user_id
0,1210
1,1275
2,1283
3,1163
4,96
5,2000
6,908
7,180
8,361
9,333
10,754
11,1307
12,1894
13,762
14,1792
15,558
16,411
17,1537
18,777
19,1782
20,989
21,325
22,1436
23,406
24,1296
25,1871
26,792
27,455
28,408
29,513
30,605
31,1133
32,883
33,1031
34,891
35,355
36,1845
37,594
38,1929
39,1788
40,1530
41,1303
42,1448
43,434
44,1028
45,927
46,1455
47,871
48,1266
49,760
50,536
51,35
52,1460
53,300
54,838
55,370
56,160
57,189
58,1091
59,1348
60,1212
61,1849
62,378
63,1958
64,668
65,1368
66,916
67,802
68,1117
69,955
70,1337
71,1984
72,66
73,1485
74,603
75,1898
76,691
77,1852
78,1273
79,793
80,1882
81,593
82,131
83,1762
84,313
85,1543
86,489
87,1255
88,255
89,689
90,519
91,1387
92,1778
93,1208
94,659
95,739
96,686
97,1557
98,1332
99,750
100,1201
101,409
102,221
103,1479
104,1952
105,469
106,591
107,236
108,1604
109,495
110,1111
111,379
112,387
113,1245
114,1618
115,554
116,1156
117,1766
118,1087
119,573
120,1750
121,135
122,1502
123,1333
124,833
125,223
126,1258
127,263
128,1102
129,522
130,629
131,158
132,1561
133,1901
134,1390
135,649
136,456
137,429
138,1753
139,466
140,400
141,1020
142,1054
143,1528
144,829
145,1977
146,820
147,372
148,36
149,1979
150,1247
151,51
152,89
153,906
154,1370
155,1538
156,857
157,109
158,511
159,1880
160,60
161,863
162,176
163,468
164,578
165,1475
166,1821
167,1899
168,943
169,1938
170,1644
171,1694
172,1883
173,1831
174,1982
175,1545
176,1317
177,1648
178,639
179,824
180,1377
181,289
182,1399
183,1846
184,137
185,1637
186,188
187,890
188,1981
189,85
190,151
191,1868
192,1662
193,314
194,670
195,70
196,1946
197,1505
198,972
199,1628
200,1071
201,1205
202,549
203,1190
204,147
205,62
206,661
207,424
208,775
209,1082
210,1810
211,1061
212,274
213,444
214,628
215,1068
216,1035
217,1707
218,1168
219,1631
220,59
221,684
222,584
223,917
224,1801
225,1886
226,1280
227,222
228,249
229,1249
230,1621
231,930
232,1142
233,407
234,676
235,1018
236,540
237,497
238,1725
239,1647
240,1507
241,235
242,1683
243,183
244,844
245,635
246,261
247,209
248,1701
249,1240
250,1580
251,948
252,1857
253,451
254,1304
255,1957
256,893
257,1516
258,1934
259,26
260,1353
261,1290
262,656
263,509
264,620
265,779
266,1832
267,1007
268,1123
269,770
270,430
271,910
272,1066
273,1289
274,336
275,421
276,645
277,1609
278,1141
279,1917
280,161
281,787
282,284
283,1040
284,1786
285,1482
286,1248
287,889
288,1126
289,294
290,1268
291,1011
292,1392
293,228
294,685
295,1712
296,807
297,1259
298,1107
299,256
300,337
301,1096
302,1175
303,1230
304,1601
305,1269
306,1608
307,1884
308,1743
309,1681
310,330
311,1635
312,477
313,305
314,541
315,895
316,393
317,367
318,751
319,492
320,680
321,37
322,1324
323,842
324,1306
325,974
326,835
327,968
328,1464
329,789
330,1904
331,1867
332,836
333,1661
334,1591
335,1927
336,1366
337,977
338,660
339,698
340,1295
341,1459
342,28
343,465
344,1627
345,1299
346,1892
347,1089
348,1264
349,1001
350,518
351,1549
352,50
353,268
354,514
355,1173
356,1437
357,640
358,654
359,980
360,1384
361,633
362,1568
363,1596
364,1599
365,277
366,32
367,328
368,821
369,357
370,1885
371,1611
372,1834
373,896
374,27
375,237
376,1287
377,167
378,1646
379,1101
380,617
381,1816
382,1497
383,1342
384,1185
385,1941
386,1724
387,299
388,205
389,1560
390,1216
391,1154
392,184
393,571
394,1943
395,1229
396,1351
397,1243
398,859
399,1777
400,1073
401,619
402,1343
403,138
404,706
405,1651
406,1968
407,1400
408,1125
409,195
410,1196
411,1510
412,15
413,1738
414,564
415,575
416,1026
417,1669
418,1506
419,310
420,1667
421,731
422,1903
423,1754
424,1192
425,414
426,1508
427,31
428,814
429,38
430,491
431,197
432,791
433,1954
434,1775
435,561
436,1069
437,1976
438,867
439,568
440,1656
441,611
442,1074
443,1734
444,383
445,1610
446,369
447,403
448,753
449,673
450,1905
451,324
452,1668
453,141
454,1320
455,1785
456,935
457,516
458,312
459,962
460,657
461,1779
462,1309
463,1443
464,1677
465,1812
466,1429
467,1236
468,1716
469,919
470,415
471,163
472,1359
473,365
474,65
475,166
476,748
477,1813
478,461
479,207
480,102
481,1170
482,1138
483,1463
484,1940
485,823
486,529
487,995
488,1896
489,1284
490,171
491,1394
492,785
493,1134
494,1488
495,1151
496,636
497,431
498,397
499,1341
500,1458
501,608
502,191
503,870
504,1521
505,1143
506,241
507,198
508,1709
509,766
510,1733
511,157
512,531
513,768
514,371
515,1165
516,637
517,1215
518,1932
519,264
520,127
521,496
522,1451
523,675
524,1874
525,43
526,1875
527,745
528,1714
529,1858
530,1961
531,1900
532,827
533,1747
534,1717
535,1222
536,224
537,307
538,321
539,1547
540,951
541,826
542,737
543,240
544,503
545,941
546,733
547,1597
548,874
549,452
550,643
551,1643
552,1013
553,928
554,501
555,1706
556,44
557,1755
558,1322
559,1407
560,257
561,242
562,735
563,1863
564,1167
565,1022
566,644
567,467
568,244
569,822
570,1718
571,1105
572,423
573,56
574,1843
575,1756
576,1483
577,1640
578,832
579,1424
580,309
581,1057
582,1184
583,1144
584,346
585,914
586,1207
587,1486
588,1949
589,1422
590,1809
591,302
592,1477
593,1339
594,1336
595,1526
596,798
597,1278
598,121
599,436
600,648
601,757
602,705
603,623
604,1260
605,1110
606,665
607,1308
608,1114
609,1575
610,1472
611,419
612,1439
613,441
614,592
615,1649
616,933
617,1828
618,878
619,206
620,1188
621,992
622,273
623,651
624,1223
625,1764
626,125
627,1039
628,202
629,182
630,572
631,1481
632,1711
633,1171
634,1293
635,118
636,1227
637,114
638,478
639,329
640,932
641,1112
642,1232
643,1274
644,742
645,500
646,404
647,1153
648,1906
649,410
650,1140
651,1844
652,1799
653,996
654,1291
655,212
656,1435
657,1092
658,627
659,858
660,226
661,1172
662,1842
663,380
664,190
665,287
666,499
667,911
668,58
669,599
670,1302
671,1414
672,1025
673,484
674,1297
675,736
676,1876
677,134
678,1398
679,1562
680,1988
681,1765
682,1629
683,1839
684,306
685,1409
686,1840
687,1740
688,1109
689,1183
690,129
691,849
692,1928
693,1533
694,1773
695,1421
696,774
697,1795
698,272
699,1791
700,1396
701,1397
702,83
703,395
704,1016
705,498
706,47
707,1193
708,64
709,1660
710,394
711,752
712,1987
713,142
714,24
715,4
716,515
717,1426
718,722
719,1745
720,440
721,168
722,1692
723,172
724,1861
725,1728
726,929
727,1555
728,229
729,1023
730,1931
731,703
732,366
733,486
734,763
735,1856
736,470
737,1064
738,901
739,719
740,1083
741,1335
742,358
743,641
744,1989
745,570
746,604
747,136
748,1933
749,589
750,61
751,304
752,1818
753,275
754,1704
755,1527
756,1217
757,615
758,86
759,1106
760,574
761,1186
762,1872
763,377
764,1431
765,946
766,1531
767,1841
768,1914
769,1077
770,1045
771,1226
772,1465
773,1504
774,1514
775,809
776,1155
777,1224
778,1136
779,865
780,1046
781,405
782,111
783,293
784,1697
785,696
786,1967
787,530
788,892
789,1340
790,1908
791,1200
792,1191
793,1823
794,1808
795,903
796,1446
797,767
798,282
799,576
800,1615
801,1817
802,1965
803,1512
804,1556
805,614
806,552
807,634
808,1445
809,738
810,923
811,679
812,1378
813,1420
814,342
815,1321
816,1146
817,1564
818,143
819,359
820,215
821,1603
822,334
823,1344
824,1411
825,1124
826,1369
827,251
828,788
829,921
830,1043
831,818
832,447
833,1286
834,848
835,1063
836,1592
837,116
838,532
839,521
840,107
841,692
842,422
843,1328
844,834
845,830
846,454
847,353
848,580
849,389
850,868
851,550
852,1152
853,352
854,1688
855,119
856,517
857,1578
858,586
859,349
860,1319
861,912
862,1566
863,1194
864,464
865,1417
866,966
867,426
868,687
869,681
870,1774
871,417
872,862
873,1487
874,94
875,553
876,1654
877,672
878,1009
879,1271
880,462
881,1415
882,1219
883,557
884,1088
885,150
886,1239
887,975
888,1878
889,902
890,1964
891,546
892,1837
893,1887
894,950
895,598
896,545
897,128
898,1550
899,225
900,1866
901,618
902,1962
903,1855
904,1252
905,1689
906,666
907,1585
908,323
909,476
910,1825
911,985
912,385
913,420
914,1948
915,609
916,831
917,1326
918,566
919,920
920,1847
921,1763
922,298
923,1135
924,133
925,1573
926,98
927,396
928,717
929,55
930,1042
931,1189
932,1655
933,280
934,924
935,1666
936,772
937,13
938,283
939,30
940,944
941,345
942,1452
943,311
944,1776
945,1251
946,1679
947,1634
948,1352
949,1450
950,401
951,1220
952,744
953,959
954,973
955,1552
956,796
957,647
958,1231
959,1524
960,544
961,1471
962,1588
963,803
964,577
965,699
966,216
967,843
968,853
969,780
970,1659
971,1024
972,390
973,418
974,1029
975,1379
976,707
977,1897
978,1600
979,52
980,1696
981,76
982,1489
983,1551
984,112
985,1970
986,625
987,658
988,230
989,1534
990,490
991,597
992,1859
993,716
994,784
995,1433
996,1076
997,954
998,1382
999,316
1000,875
1001,678
1002,1492
1003,1630
1004,548
1005,1047
1006,1120
1007,1854
1008,347
1009,315
1010,502
1011,1
1012,42
1013,1890
1014,990
1015,1758
1016,122
1017,1727
1018,712
1019,504
1020,1998
1021,967
1022,728
1023,1310
1024,1494
1025,398
1026,1410
1027,1771
1028,1729
1029,1441
1030,879
1031,250
1032,375
1033,1895
1034,1234
1035,5
1036,702
1037,600
1038,1546
1039,1350
1040,1081
1041,1428
1042,726
1043,1966
1044,624
1045,510
1046,794
1047,1539
1048,1992
1049,6
1050,374
1051,1413
1052,1419
1053,254
1054,885
1055,652
1056,986
1057,881
1058,1936
1059,1281
1060,460
1061,1912
1062,187
1063,1619
1064,897
1065,581
1066,1147
1067,1973
1068,662
1069,174
1070,1375
1071,922
1072,1710
1073,1499
1074,708
1075,846
1076,432
1077,1053
1078,1939
1079,1434
1080,1956
1081,886
1082,764
1083,1118
1084,1920
1085,220
1086,446
1087,258
1088,876
1089,1761
1090,1103
1091,348
1092,723
1093,1620
1094,815
1095,1131
1096,391
1097,1626
1098,1784
1099,616
1100,130
1101,1862
1102,81
1103,915
1104,1571
1105,23
1106,1346
1107,1663
1108,622
1109,1476
1110,1638
1111,1279
1112,1263
1113,1218
1114,1362
1115,1003
1116,175
1117,71
1118,963
1119,238
1120,582
1121,1470
1122,1129
1123,1006
1124,1177
1125,1800
1126,854
1127,1098
1128,1807
1129,155
1130,402
1131,144
1132,899
1133,169
1134,1357
1135,900
1136,1127
1137,46
1138,327
1139,1052
1140,1202
1141,1713
1142,1870
1143,1518
1144,17
1145,332
1146,993
1147,709
1148,1010
1149,123
1150,1881
1151,105
1152,1671
1153,1132
1154,1513
1155,1520
1156,1491
1157,539
1158,1770
1159,1444
1160,1166
1161,1149
1162,1705
1163,898
1164,1569
1165,84
1166,1811
1167,534
1168,953
1169,782
1170,1509
1171,1693
1172,694
1173,1624
1174,1430
1175,33
1176,1633
1177,905
1178,1953
1179,1178
1180,1079
1181,1338
1182,1037
1183,1789
1184,630
1185,320
1186,715
1187,278
1188,1246
1189,1719
1190,1548
1191,152
1192,1100
1193,526
1194,1292
1195,632
1196,841
1197,16
1198,727
1199,1687
1200,937
1201,331
1202,913
1203,1622
1204,1416
1205,1576
1206,1187
1207,93
1208,1542
1209,1108
1210,1113
1211,473
1212,758
1213,1678
1214,428
1215,11
1216,808
1217,1737
1218,9
1219,845
1220,1975
1221,416
1222,978
1223,1032
1224,590
1225,1093
1226,1104
1227,1584
1228,1595
1229,49
1230,872
1231,812
1232,471
1233,866
1234,704
1235,259
1236,1752
